,最新价,涨跌_今日,股票代码,公司名称,今日主力流入_元,所属模块,涨跌_5日,涨跌_10日,主力净占比_5日,主力净占比_10日,主力净占比_今日,排名_今日,排名_5日,排名_10日
735,37.89,4.12,301221,光庭信息,5893923.0,软件开发,2.68,-4.75,1.17,-3.02,3.47,1356.0,952,3166
736,4.16,3.23,002204,大连重工,1994026.0,工程机械,1.71,-1.19,-1.7,-2.19,3.46,1414.0,2344,2806
737,21.8,1.4,301092,争光股份,471936.0,化学制品,0.23,-2.68,-0.39,-1.22,3.46,1359.0,1689,2139
738,19.9,-1.39,301446,福事特,6161740.0,通用设备,13.26,8.33,8.34,6.74,3.45,1360.0,93,80
739,28.1,1.3,000988,华工科技,9439204.0,电子元件,-3.57,-7.5,-2.33,-4.67,3.43,1421.0,2685,4340
740,15.23,0.66,002362,汉王科技,1404568.0,软件开发,-3.24,-5.52,-3.45,-1.09,3.43,1423.0,3327,2035
741,7.91,2.46,002892,科力尔,2839257.0,电机,0.25,-8.87,-2.53,-5.74,3.41,1428.0,2789,4760
742,5.0,0.6,002320,海峡股份,1291221.0,航运港口,-1.57,-0.6,-3.32,-3.38,3.41,1429.0,3252,3615
743,24.37,-1.18,300765,新诺威,4588029.0,食品饮料,-10.37,-2.13,-4.28,1.89,3.4,1372.0,3569,603
744,4.37,4.55,300328,宜安科技,2590241.0,小金属,4.3,-0.23,0.63,0.9,3.38,1375.0,1175,911
745,7.22,2.85,002176,江特电机,7392797.0,电机,-2.83,-5.62,-6.38,-6.33,3.37,1436.0,4555,4906
746,9.73,1.88,300738,奥飞数据,7261773.0,互联网服务,-2.8,-7.51,-5.84,-4.4,3.37,1379.0,4177,4199
747,1.84,1.66,300189,神农种业,985736.0,农牧饲渔,-5.15,-6.6,-8.03,-3.02,3.37,1380.0,4949,3383
748,10.41,3.69,002242,九阳股份,1554409.0,家电行业,-0.48,-1.14,-4.87,-1.81,3.37,1439.0,4013,2550
749,12.02,-0.41,300743,天地数码,1013308.0,非金属材料,-1.88,-8.45,0.83,-0.72,3.37,1382.0,1106,1809
750,15.21,1.2,002393,力生制药,378510.0,化学制药,-1.49,-3.37,-5.36,-4.47,3.37,1442.0,4200,4242
751,8.48,4.95,000901,航天科技,7070176.0,汽车零部件,3.67,1.44,0.06,-1.58,3.35,1443.0,1404,2381
752,11.16,2.95,002960,青鸟消防,1790037.0,专用设备,0.27,-5.5,-0.94,-3.97,3.34,1446.0,1943,3975
753,20.33,2.94,300508,维宏股份,1954197.0,互联网服务,5.67,3.15,-0.21,-2.65,3.34,1447.0,1596,3119
754,7.04,3.68,300337,银邦股份,5380290.0,有色金属,-7.49,-13.19,-6.7,-8.31,3.33,1448.0,4651,5225
755,52.1,-0.38,300866,安克创新,4780462.0,消费电子,-6.46,-16.51,1.23,-1.17,3.33,1449.0,978,2092
756,4.96,5.98,300169,天晟新材,7548300.0,化学制品,8.77,9.01,-0.92,-0.47,3.32,1450.0,1929,1653
757,331.95,0.9,002371,北方华创,60155510.0,半导体,-6.49,1.03,-2.67,-1.89,3.32,1452.0,2873,2603
758,24.3,4.61,300161,华中数控,7229045.0,通用设备,2.92,14.79,-4.11,-1.12,3.31,1456.0,3659,2051
759,2.31,2.21,000031,大悦城,560530.0,房地产开发,0.43,-2.53,5.43,2.3,3.31,1457.0,226,507
760,8.25,3.25,002184,海得控制,830766.0,专用设备,1.23,-1.9,-1.17,-2.01,3.31,1458.0,2062,2690
761,12.63,2.77,300927,江天化学,570556.0,化学原料,0.08,-5.25,-4.46,-4.18,3.31,1459.0,3835,4088
762,23.05,1.05,000831,中国稀土,4889759.0,小金属,-3.88,-3.56,-6.75,-5.51,3.3,1460.0,4666,4668
763,11.34,0.53,003041,真爱美家,204391.0,纺织服装,-3.24,-5.1,3.38,9.16,3.3,1461.0,440,34
764,3.22,1.26,301526,国际复材,1294549.0,玻璃玻纤,-1.53,-2.72,-5.62,-3.85,3.29,1462.0,4308,3905
765,8.53,2.4,301048,金鹰重工,1619065.0,交运设备,-1.39,6.49,-5.42,-0.94,3.28,1463.0,4223,1933
766,42.78,0.82,301567,贝隆精密,2475911.0,消费电子,-5.77,-1.22,-5.62,-3.32,3.28,1465.0,4311,3588
767,4.46,2.76,002538,司尔特,942729.0,化肥行业,-1.76,-4.7,-5.45,-2.24,3.27,1466.0,4238,2840
768,8.25,5.23,301028,东亚机械,732963.0,通用设备,1.6,-3.17,0.47,0.12,3.27,1468.0,1248,1289
769,7.14,4.08,300543,朗科智能,1072178.0,消费电子,1.28,-7.63,-0.96,-2.64,3.26,1470.0,1954,3109
770,7.82,2.22,002790,瑞尔特,833701.0,装修建材,-1.26,-6.57,0.57,-3.42,3.26,1471.0,1203,3639
771,6.97,0.29,002120,韵达股份,2849689.0,物流行业,-2.52,-1.69,-1.95,1.39,3.24,1481.0,2490,746
772,13.1,1.08,000032,深桑达Ａ,3168229.0,通信设备,-4.66,-9.09,-3.99,-6.44,3.24,1482.0,3608,4936
773,13.92,-1.69,301190,善水科技,922332.0,化学制品,9.35,5.86,2.49,1.74,3.24,1483.0,622,653
774,7.03,1.15,300358,楚天科技,440405.0,医疗器械,-1.82,-1.26,-8.76,-6.38,3.24,1484.0,5050,4922
775,10.04,6.58,300275,梅安森,2153635.0,仪器仪表,8.42,3.08,0.98,-1.41,3.2,1490.0,1057,2248
776,21.83,1.39,300545,联得装备,1367652.0,光学光电子,-5.5,-7.77,-0.63,-1.37,3.2,1493.0,1787,2227
777,20.91,0.77,301230,泓博医药,1000843.0,生物制品,-4.39,-8.01,-2.78,-1.78,3.2,1494.0,2937,2529
778,6.75,4.01,000157,中联重科,11453665.0,工程机械,-3.3,-5.2,-2.28,-0.68,3.19,1495.0,2663,1777
779,26.58,3.22,300709,精研科技,21047652.0,消费电子,14.67,5.02,4.85,1.68,3.17,1498.0,282,668
780,7.76,0.52,300144,宋城演艺,6069295.0,旅游酒店,-2.27,-5.02,3.42,2.43,3.17,1499.0,432,470
781,62.46,1.1,301191,菲菱科思,1272842.0,通信设备,-3.97,-5.13,-4.3,-3.6,3.16,1501.0,3769,3761
782,12.06,3.34,300607,拓斯达,2635524.0,通用设备,0.92,-0.25,-3.87,-1.45,3.15,1502.0,3544,2280
783,2.12,1.44,000820,神雾节能,240887.0,环保行业,0.95,-1.4,-0.62,1.08,3.15,1504.0,1783,844
784,18.92,4.59,300875,捷强装备,1912860.0,专用设备,5.05,2.66,2.65,1.76,3.14,1506.0,591,651
785,32.02,2.04,301186,超达装备,1090219.0,汽车零部件,0.38,-12.7,-2.42,-8.0,3.14,1507.0,2734,5202
786,22.53,2.46,301222,浙江恒威,524949.0,电池,-1.96,-7.05,0.49,-1.7,3.14,1508.0,1244,2475
787,13.1,3.23,300612,宣亚国际,1888182.0,文化传媒,2.99,1.47,-0.16,-1.07,3.12,1510.0,1566,2017
788,15.04,2.73,003017,大洋生物,434844.0,化学原料,0.07,-4.99,4.4,1.32,3.12,1511.0,328,776
789,21.82,2.39,301310,鑫宏业,584148.0,电网设备,-0.73,-4.76,-2.82,-2.97,3.12,1512.0,2959,3355
790,24.83,2.6,301587,中瑞股份,1708663.0,电池,-0.4,-2.78,0.71,-1.2,3.11,1513.0,1148,2115
791,13.19,-0.23,300406,九强生物,1514793.0,医疗器械,-7.76,-8.85,-4.74,-6.94,3.1,1514.0,3953,5049
792,23.89,1.01,300596,利安隆,1171013.0,塑料制品,-5.2,-8.85,-2.13,-1.86,3.1,1515.0,2589,2584
793,20.41,1.95,301189,奥尼电子,504685.0,通信设备,-2.81,-8.6,-2.68,-6.6,3.1,1516.0,2882,4972
794,4.19,0.0,000755,山西高速,451821.0,铁路公路,2.7,1.21,-1.9,1.02,3.09,1517.0,2458,863
795,5.52,1.85,000612,焦作万方,3716861.0,有色金属,-7.38,-16.99,-10.86,-13.74,3.08,1518.0,5270,5413
796,8.7,2.35,300399,天利科技,1325763.0,互联网服务,1.05,-9.66,-2.57,-5.06,3.06,1519.0,2809,4506
797,15.38,3.78,300445,康斯特,923354.0,仪器仪表,4.41,0.65,3.6,0.82,3.06,1520.0,409,960
798,12.84,2.15,300467,迅游科技,757294.0,游戏,0.08,-1.15,-3.26,-3.05,3.06,1521.0,3220,3401
799,6.14,3.89,300222,科大智能,5776362.0,电网设备,4.96,6.78,0.07,-1.27,3.05,1522.0,1398,2164
800,19.58,-0.61,300498,温氏股份,12478789.0,农牧饲渔,-5.41,1.61,0.9,-2.87,3.04,1525.0,1082,3281
801,6.16,2.84,002173,创新医疗,1936813.0,医疗服务,-0.16,-3.75,-6.42,-6.13,3.04,1526.0,4574,4863
802,21.93,0.87,001367,海森药业,245957.0,化学制药,-2.71,-6.52,-3.1,-2.34,3.04,1528.0,3140,2915
803,48.55,-0.37,000526,学大教育,2307327.0,教育,-6.87,-4.2,0.61,0.83,3.03,1531.0,1183,954
804,13.58,1.34,300829,金丹科技,395231.0,食品饮料,-1.74,-6.15,-2.31,-3.31,3.03,1532.0,2679,3580
805,4.86,0.21,300369,绿盟科技,1951229.0,软件开发,-0.21,-1.82,1.11,0.52,3.02,1533.0,1012,1092
806,2.66,1.53,002067,景兴纸业,491164.0,造纸印刷,-1.12,-3.62,-5.95,-6.56,2.98,1538.0,4423,4964
807,10.75,-0.19,300521,爱司凯,324933.0,专用设备,-2.71,-5.37,-4.73,-6.11,2.98,1541.0,3952,4861
808,15.03,1.42,300378,鼎捷软件,1352021.0,软件开发,-1.31,-2.78,-3.5,-3.63,2.97,1542.0,3349,3778
809,25.67,1.18,300677,英科医疗,8323477.0,医疗器械,-6.82,-11.27,-5.69,-5.1,2.96,1543.0,4331,4523
810,7.05,1.73,002609,捷顺科技,616930.0,互联网服务,-0.84,-4.08,-1.89,-1.61,2.96,1544.0,2454,2410
811,16.82,3.13,002922,伊戈尔,7170722.0,电子元件,-4.7,-11.01,-4.67,-6.62,2.94,1545.0,3928,4979
812,4.09,0.99,002701,奥瑞金,1132614.0,包装材料,-0.73,1.24,-1.88,2.31,2.93,1546.0,2445,506
813,4.58,4.57,300569,天能重工,5436892.0,风电设备,14.79,11.17,1.75,0.77,2.92,1548.0,812,983
814,18.85,2.84,300136,信维通信,13415086.0,消费电子,-3.83,-8.94,-5.18,-4.03,2.92,1549.0,4131,3999
815,32.34,2.67,001314,亿道信息,2163557.0,消费电子,-5.27,-8.93,-8.88,-6.35,2.91,1550.0,5074,4912
816,14.12,0.86,000923,河钢资源,4213568.0,钢铁行业,-7.95,-13.69,-0.63,-2.43,2.89,1556.0,1785,2964
817,9.91,2.06,300113,顺网科技,2828587.0,游戏,-0.6,-0.7,1.9,4.29,2.89,1557.0,766,208
818,16.78,3.33,300523,辰安科技,920679.0,互联网服务,0.54,-3.89,-0.17,-6.37,2.89,1558.0,1575,4918
819,23.31,2.1,003007,直真科技,700949.0,软件开发,0.17,-2.96,0.74,-1.22,2.89,1559.0,1137,2137
820,30.3,3.8,000400,许继电气,20025734.0,电网设备,2.99,-5.43,-0.41,-3.04,2.88,1561.0,1696,3392
821,2.62,2.34,000517,荣安地产,1262477.0,房地产开发,-1.5,-4.73,0.42,-0.23,2.87,1564.0,1272,1514
822,2.25,2.27,300355,蒙草生态,781553.0,环保行业,0.9,-0.88,-4.44,-2.21,2.87,1565.0,3827,2816
823,18.03,2.44,002979,雷赛智能,3554052.0,专用设备,-5.06,-9.94,-3.91,-5.83,2.87,1566.0,3567,4790
824,3.33,1.83,300385,雪浪环境,154440.0,环保行业,2.46,0.0,-1.71,1.48,2.86,1568.0,2352,722
825,29.31,0.31,300919,中伟股份,3875913.0,电池,-6.54,1.38,-4.5,-1.83,2.85,1572.0,3856,2565
826,9.85,2.71,003015,日久光电,3099179.0,光学光电子,1.44,-1.99,-2.43,-2.79,2.82,1575.0,2737,3214
827,29.28,-1.88,301232,飞沃科技,7914509.0,风电设备,31.6,26.21,1.65,1.14,2.82,1576.0,841,817
828,30.81,0.42,002422,科伦药业,4535592.0,化学制药,-3.81,-4.47,-0.76,-1.92,2.82,1577.0,1849,2625
829,36.1,0.81,003043,华亚智能,609026.0,通用设备,-7.53,-3.22,-3.92,-1.57,2.82,1579.0,3573,2379
830,25.32,1.28,001378,德冠新材,2204178.0,塑料制品,9.94,8.72,3.88,3.3,2.81,1580.0,367,323
831,64.66,-0.03,300857,协创数据,10650889.0,消费电子,-4.98,-12.82,3.68,-4.86,2.8,1581.0,393,4443
832,30.92,1.44,301314,科瑞思,742855.0,计算机设备,-1.9,-13.63,-4.56,-7.32,2.79,1584.0,3887,5115
833,8.48,1.19,002883,中设股份,795776.0,工程咨询服务,-3.85,-0.82,-2.9,-1.41,2.78,1585.0,3002,2249
834,15.81,2.0,301305,朗坤环境,683468.0,环保行业,1.61,3.94,-5.72,-3.23,2.77,1587.0,4347,3522
835,31.81,4.19,300775,三角防务,26249606.0,航天航空,6.35,13.2,1.79,1.17,2.76,1589.0,800,806
836,8.07,4.13,002789,建艺集团,797016.0,装修装饰,1.38,-8.19,-2.74,-2.47,2.76,1590.0,2914,3001
837,27.5,8.7,001288,运机集团,2016048.0,工程机械,1.44,0.04,2.33,5.94,2.76,1591.0,654,111
838,15.91,2.32,001234,泰慕士,575694.0,纺织服装,0.13,-6.63,0.84,0.67,2.76,1592.0,1104,1026
839,9.35,-7.79,300565,科信技术,5738513.0,通信设备,-16.29,-5.17,-1.07,2.54,2.75,1593.0,2007,436
840,14.18,-1.25,301197,工大科雅,3396941.0,软件开发,13.71,9.16,0.06,-0.63,2.75,1594.0,1405,1746
841,5.23,2.55,301078,孩子王,1615087.0,商业百货,-2.61,-1.88,-10.04,-3.22,2.74,1596.0,5214,3519
842,7.55,4.14,002209,达 意 隆,767699.0,专用设备,3.0,1.07,-2.65,2.37,2.74,1597.0,2864,493
843,27.65,2.52,301568,思泰克,698396.0,专用设备,-1.46,-3.69,-2.71,-3.8,2.74,1598.0,2893,3875
844,4.56,2.01,002585,双星新材,951913.0,塑料制品,-1.3,-6.17,-4.85,-5.5,2.73,1599.0,4003,4662
845,10.97,2.91,000902,新洋丰,1334545.0,化肥行业,-6.96,-10.23,4.77,6.08,2.73,1601.0,291,106
846,18.85,2.89,001228,永泰运,556397.0,物流行业,-0.21,-8.05,-3.27,-2.49,2.72,1603.0,3225,3016
847,35.23,2.09,300695,兆丰股份,178764.0,汽车零部件,-1.73,-3.98,-4.1,-5.66,2.72,1604.0,3658,4737
848,3.9,2.63,002583,海能达,2890099.0,通信设备,-1.52,-5.57,-3.05,-1.9,2.71,1605.0,3096,2612
849,5.83,1.92,002364,中恒电气,1153439.0,电源设备,-2.02,-9.05,-2.79,-3.48,2.71,1606.0,2942,3679
850,4.98,2.26,002842,翔鹭钨业,342558.0,小金属,-0.8,-6.39,-2.87,-1.23,2.71,1608.0,2984,2142
851,2.05,0.99,000615,ST美谷,833998.0,美容护理,6.22,8.47,3.65,3.32,2.7,1610.0,398,320
852,9.02,-0.11,002458,益生股份,2137318.0,农牧饲渔,-0.33,11.5,-2.13,0.29,2.7,1611.0,2586,1203
853,11.31,2.54,300826,测绘股份,1167583.0,工程咨询服务,0.09,-6.3,-2.1,-5.78,2.69,1613.0,2566,4776
854,36.07,1.18,300633,开立医疗,3317254.0,医疗器械,-2.96,7.1,-2.59,-3.17,2.69,1614.0,2819,3486
855,4.47,4.44,002488,金固股份,2089718.0,汽车零部件,-1.97,-8.21,-1.5,-3.22,2.68,1617.0,2231,3518
856,15.13,2.79,300684,中石科技,2724390.0,消费电子,-4.42,-13.44,-5.94,-7.68,2.68,1618.0,4417,5165
857,6.69,1.52,002809,红墙股份,215613.0,化学制品,0.6,-6.04,-1.47,0.55,2.67,1622.0,2223,1084
858,3.6,3.15,002121,科陆电子,1016385.0,电网设备,-0.55,-4.26,-1.63,-1.17,2.66,1626.0,2297,2089
859,13.24,2.4,300036,超图软件,1702219.0,软件开发,-0.82,-2.29,-6.29,-5.6,2.66,1628.0,4527,4705
860,2.07,7.25,300324,旋极信息,4795390.0,互联网服务,6.15,-4.17,2.61,-1.3,2.65,1631.0,597,2178
861,6.5,5.86,002248,华东数控,6797223.0,通用设备,2.85,14.44,-1.73,1.09,2.65,1632.0,2361,835
862,4.77,4.61,002429,兆驰股份,4089115.0,家电行业,-1.85,-4.22,1.76,-2.55,2.65,1633.0,811,3059
863,1.69,2.42,000056,皇庭国际,472201.0,房地产服务,0.6,-5.06,4.56,-0.87,2.65,1634.0,309,1898
864,19.55,2.36,301003,江苏博云,258153.0,塑料制品,-4.07,-8.82,-1.18,-1.96,2.65,1636.0,2068,2658
865,10.8,3.75,300500,启迪设计,2298642.0,工程咨询服务,7.68,5.57,1.26,0.05,2.64,1637.0,962,1325
866,17.06,2.22,301329,信音电子,898918.0,电子元件,-0.52,-8.43,-2.47,-3.16,2.64,1639.0,2758,3481
867,7.21,2.85,300490,华自科技,1792265.0,电网设备,2.41,-0.28,-0.91,-0.49,2.63,1640.0,1921,1663
868,1.64,2.5,002822,ST中装,1517632.0,装修装饰,25.19,35.54,6.83,2.26,2.62,1643.0,146,515
869,46.64,1.9,300624,万兴科技,5667264.0,软件开发,-4.33,-6.36,-6.56,-5.53,2.62,1644.0,4615,4673
870,3.94,2.34,000059,华锦股份,1023616.0,石油行业,0.0,-4.83,-4.58,-4.31,2.61,1647.0,3896,4153
871,20.8,-0.05,002318,久立特材,2049764.0,钢铁行业,-5.88,-8.09,-2.77,1.88,2.59,1649.0,2931,610
872,4.23,1.93,002187,广百股份,337249.0,商业百货,0.0,-0.24,-3.79,-0.73,2.58,1652.0,3502,1818
873,35.09,0.92,301380,挖金客,2994672.0,互联网服务,8.0,9.35,-0.76,-0.85,2.57,1654.0,1851,1882
874,14.01,6.22,300696,爱乐达,4916956.0,航天航空,4.71,-4.76,-2.45,-4.82,2.56,1658.0,2746,4419
875,57.98,2.57,300979,华利集团,3080562.0,纺织服装,0.83,-7.48,-1.62,1.76,2.56,1659.0,2294,652
876,6.96,0.0,000990,诚志股份,2130996.0,化学原料,-3.2,-6.7,-2.19,-2.53,2.55,1660.0,2615,3039
877,11.23,0.0,002019,亿帆医药,1723476.0,化学制药,-7.95,-9.87,-8.07,-6.03,2.55,1661.0,4956,4837
878,2.43,0.41,000890,法尔胜,552075.0,通用设备,-2.41,-3.19,-3.97,2.49,2.54,1662.0,3597,453
879,38.91,2.48,003009,中天火箭,1403128.0,航天航空,2.23,3.68,2.31,-0.48,2.54,1664.0,658,1661
880,2.23,3.72,002689,远大智能,920969.0,专用设备,2.76,-1.33,-0.82,-3.55,2.52,1666.0,1878,3717
881,8.79,1.97,002125,湘潭电化,1454054.0,化学原料,-3.3,-7.67,-7.24,-6.18,2.51,1668.0,4814,4876
882,18.86,6.01,300988,津荣天宇,2963178.0,通用设备,-5.27,-10.32,-5.69,-2.9,2.51,1669.0,4332,3305
883,17.08,1.49,301227,森鹰窗业,245451.0,装修建材,-0.64,-3.45,-2.01,-1.55,2.5,1673.0,2518,2363
884,38.1,12.86,300563,神宇股份,36759307.0,通信设备,15.95,2.95,0.74,-3.14,2.49,1674.0,1132,3462
885,4.08,2.0,002291,遥望科技,1316517.0,互联网服务,-1.45,-3.55,-2.03,-1.27,2.49,1675.0,2525,2166
886,3.02,3.78,300032,金龙机电,950661.0,消费电子,2.03,-2.89,-1.45,-2.62,2.48,1676.0,2210,3094
887,9.57,2.24,002729,好利科技,1324241.0,电子元件,0.1,-1.24,-3.6,-1.35,2.48,1677.0,3395,2216
888,10.44,2.86,300831,派瑞股份,772180.0,半导体,-2.7,-5.35,-3.06,-4.57,2.48,1678.0,3102,4301
889,6.95,1.46,300655,晶瑞电材,1400717.0,电子化学品,-5.95,-2.93,-6.5,-3.49,2.47,1680.0,4592,3685
890,13.75,2.23,300950,德固特,458771.0,专用设备,-1.29,-3.51,-3.31,-5.98,2.46,1682.0,3248,4823
891,4.08,2.26,300425,中建环能,465002.0,环保行业,2.0,-0.49,-2.27,-8.6,2.45,1683.0,2656,5253
892,13.9,1.53,301151,冠龙节能,778788.0,仪器仪表,1.39,-4.27,-0.87,-1.96,2.45,1685.0,1903,2656
893,5.59,3.52,300102,乾照光电,939583.0,光学光电子,-2.61,-8.66,-3.36,-4.56,2.44,1686.0,3272,4290
894,25.18,4.14,002851,麦格米特,8309517.0,电源设备,2.73,4.7,1.78,2.75,2.43,1688.0,806,406
895,13.01,2.12,301007,德迈仕,4083520.0,汽车零部件,-4.34,-13.61,-1.15,-4.86,2.43,1689.0,2049,4441
896,12.69,1.76,301260,格力博,855375.0,专用设备,-1.78,-13.02,-6.88,-1.6,2.43,1691.0,4709,2400
897,5.61,2.0,000700,模塑科技,1919670.0,汽车零部件,-1.23,-4.75,2.15,-2.48,2.42,1694.0,698,3002
898,26.25,4.0,300855,图南股份,1466632.0,有色金属,2.26,5.55,0.88,-0.48,2.42,1696.0,1092,1659
899,14.96,2.33,300995,奇德新材,291090.0,塑料制品,1.77,-3.11,-0.07,-0.36,2.42,1698.0,1522,1591
900,16.3,2.13,300991,创益通,3891834.0,电子元件,-2.28,-18.09,-1.65,-4.04,2.4,1700.0,2306,4005
901,19.45,2.26,300735,光弘科技,8491543.0,消费电子,-6.94,-11.99,-5.38,-4.43,2.39,1702.0,4206,4216
902,2.07,2.99,000016,深康佳Ａ,928975.0,家电行业,-1.43,-1.43,-2.04,-0.99,2.37,1704.0,2529,1963
903,1.37,2.24,002247,聚力文化,409546.0,装修装饰,3.79,-9.27,-4.22,-9.18,2.37,1705.0,3717,5292
904,7.87,2.21,300654,世纪天鸿,1150560.0,文化传媒,-0.76,-5.64,-5.29,-5.74,2.37,1706.0,4174,4761
905,35.0,2.61,300803,指南针,6049846.0,软件开发,-1.38,0.43,-1.74,-0.65,2.36,1708.0,2369,1757
906,16.26,2.91,003008,开普检测,623019.0,专业服务,-0.37,-7.56,-1.19,-2.73,2.36,1709.0,2073,3171
907,34.3,1.6,301131,聚赛龙,1285684.0,塑料制品,1.54,-0.15,-0.26,-0.8,2.36,1710.0,1624,1858
908,25.54,0.39,300973,立高食品,1110634.0,食品饮料,-6.28,-4.02,1.52,2.27,2.35,1712.0,878,513
909,21.91,1.39,002156,通富微电,28178100.0,半导体,-7.55,-6.37,-7.29,-4.58,2.34,1713.0,4826,4303
910,19.46,4.79,300327,中颖电子,5535118.0,半导体,-4.56,-3.18,-4.95,-2.42,2.34,1715.0,4039,2957
911,11.08,2.78,300590,移为通信,3049367.0,通信设备,-4.32,-10.5,-2.66,-8.99,2.34,1716.0,2865,5277
912,29.55,0.85,002415,海康威视,12784211.0,计算机设备,-2.48,-1.6,-0.33,-3.13,2.32,1720.0,1663,3454
913,12.72,4.52,002149,西部材料,1555307.0,小金属,-1.47,-3.64,-0.26,-1.85,2.32,1721.0,1623,2576
914,80.72,0.93,301308,江波龙,7495571.0,半导体,-13.47,-18.66,-12.02,-10.24,2.32,1723.0,5338,5340
915,3.2,0.95,002390,信邦制药,661443.0,中药,-3.03,-5.33,-0.97,-4.72,2.31,1724.0,1958,4371
916,14.17,2.24,300745,欣锐科技,1125280.0,汽车零部件,1.21,-4.26,4.36,-0.96,2.31,1725.0,331,1945
917,5.98,2.22,300166,东方国信,1633924.0,互联网服务,2.4,-1.32,0.12,-1.01,2.3,1727.0,1381,1976
918,2.89,3.58,002342,巨力索具,659515.0,通用设备,1.05,-1.37,-4.32,-3.99,2.3,1728.0,3778,3986
919,6.02,0.84,000910,大亚圣象,157925.0,装修建材,0.0,1.18,3.49,6.44,2.3,1730.0,426,93
920,25.76,2.02,301319,唯特偶,460799.0,电子元件,-3.38,-4.94,-0.33,0.5,2.3,1731.0,1666,1106
921,6.75,2.74,002215,诺 普 信,1499916.0,农药兽药,-3.16,-6.25,-1.94,-2.74,2.29,1732.0,2482,3176
922,8.08,5.21,301265,华新环保,1266309.0,环保行业,1.0,5.62,-4.95,1.61,2.29,1733.0,4042,686
923,17.72,2.01,300644,南京聚隆,1306839.0,塑料制品,-1.17,-9.08,-2.04,-4.81,2.29,1734.0,2531,4416
924,1.64,-0.61,300208,*ST中程,574628.0,电网设备,-6.82,17.99,-5.81,-2.5,2.28,1736.0,4377,3020
925,11.14,3.63,301321,翰博高新,1974854.0,光学光电子,10.74,3.72,1.83,0.71,2.28,1737.0,788,1011
926,5.35,2.29,300263,隆华科技,837225.0,通用设备,1.71,-1.65,-0.92,-1.34,2.26,1739.0,1932,2207
927,19.93,0.66,301297,富乐德,2564680.0,半导体,-10.06,-3.81,-6.75,-3.71,2.26,1740.0,4667,3824
928,2.38,2.59,002620,瑞和股份,270689.0,装修装饰,2.59,-2.06,0.86,0.2,2.24,1745.0,1100,1240
929,17.38,1.05,002981,朝阳科技,1205350.0,消费电子,-3.07,-20.06,-3.18,-5.24,2.24,1748.0,3172,4579
930,1.55,1.31,002285,世联行,564509.0,房地产服务,-1.9,-7.74,-1.45,-3.81,2.23,1751.0,2209,3877
931,17.0,9.47,300719,安达维尔,13529724.0,航天航空,10.39,6.18,0.46,-1.34,2.22,1755.0,1254,2204
932,7.65,0.53,300588,熙菱信息,658687.0,软件开发,4.94,-0.78,1.11,0.75,2.22,1756.0,1014,995
933,23.03,2.72,001311,多利科技,517278.0,汽车零部件,-2.74,-7.21,-2.0,-0.75,2.21,1761.0,2513,1827
934,16.03,3.75,001268,联合精密,350124.0,通用设备,2.1,-0.8,-0.7,-0.37,2.18,1762.0,1814,1600
935,3.51,2.93,300173,福能东方,770056.0,专用设备,0.86,-4.62,1.77,-2.0,2.16,1766.0,808,2683
936,6.99,2.64,300929,华骐环保,186782.0,环保行业,2.79,-2.92,-1.29,-0.16,2.16,1768.0,2125,1486
937,10.35,3.09,300967,晓鸣股份,1514819.0,农牧饲渔,-10.62,7.59,-5.19,-3.98,2.15,1769.0,4134,3982
938,4.84,1.26,002250,联化科技,645835.0,农药兽药,0.62,-2.62,0.72,-1.08,2.15,1770.0,1141,2025
939,20.34,10.01,001379,腾达科技,6504496.0,通用设备,61.05,54.21,15.09,11.27,2.14,1772.0,19,16
940,3.81,1.06,002107,沃华医药,181925.0,中药,-1.8,-4.51,-4.89,-2.46,2.14,1773.0,4018,2993
941,9.12,4.47,300460,惠伦晶体,5064738.0,电子元件,-3.18,9.22,-2.87,0.5,2.11,1775.0,2980,1103
942,13.65,2.25,301171,易点天下,1756556.0,互联网服务,-2.08,-5.08,-6.04,-4.74,2.11,1776.0,4451,4383
943,10.11,2.43,300822,贝仕达克,875855.0,消费电子,-1.27,-8.09,-3.01,-4.95,2.11,1777.0,3072,4465
944,12.54,1.79,002214,大立科技,1891112.0,电子元件,3.89,5.82,1.57,3.11,2.1,1780.0,862,353
945,4.51,3.2,300176,派生科技,554377.0,汽车零部件,1.12,-9.26,-1.4,-3.28,2.1,1781.0,2185,3559
946,18.87,3.97,301322,绿通科技,521843.0,交运设备,1.78,-0.21,-1.0,-1.48,2.1,1782.0,1979,2303
947,16.24,1.69,002155,湖南黄金,11302703.0,贵金属,-12.92,-13.53,-11.61,-7.55,2.08,1787.0,5313,5147
948,6.5,3.34,002730,电光科技,716198.0,专用设备,1.88,-2.55,-0.87,-3.08,2.06,1789.0,1900,3423
949,8.26,0.61,002185,华天科技,5201790.0,半导体,-6.56,-4.73,-5.65,-2.61,2.05,1791.0,4315,3090
950,2.89,2.12,300412,迦南科技,477383.0,专用设备,0.7,-3.67,-3.39,-2.53,2.05,1792.0,3289,3041
951,8.34,2.21,300682,朗新集团,1265684.0,互联网服务,-0.12,-3.14,-0.07,0.93,2.05,1793.0,1517,901
952,21.85,1.44,003005,竞业达,890095.0,互联网服务,-3.57,-8.35,-3.44,-1.81,2.05,1794.0,3322,2553
953,8.2,1.23,300009,安科生物,1114646.0,生物制品,-4.98,-3.76,-4.5,-3.62,2.04,1797.0,3855,3768
