,最新价,涨跌_今日,股票代码,公司名称,今日主力流入_元,所属模块,涨跌_5日,涨跌_10日,主力净占比_5日,主力净占比_10日,主力净占比_今日,排名_今日,排名_5日,排名_10日
160,9.25,3.35,300846,首都在线,10124010.0,互联网服务,0.0,-4.05,-1.19,-1.18,11.0,331.0,2072,2095
161,28.25,1.07,301286,侨源股份,481508.0,化学原料,0.5,3.52,-7.2,-4.74,10.93,336.0,4801,4388
162,12.95,4.1,002484,江海股份,16835410.0,电子元件,-3.07,3.11,-3.91,0.04,10.9,337.0,3564,1327
163,2.26,3.2,002211,宏达新材,1659181.0,化学制品,0.89,-6.22,1.33,-4.42,10.84,338.0,938,4210
164,34.8,2.87,301508,中机认检,16160957.0,专业服务,-2.44,-5.28,-1.65,-4.53,10.83,339.0,2310,4272
165,1.34,3.08,000592,平潭发展,2439849.0,农牧饲渔,0.75,-4.29,3.71,0.93,10.8,341.0,390,899
166,1.4,2.94,002640,跨境通,5653835.0,贸易行业,2.19,1.45,3.09,0.24,10.79,343.0,498,1222
167,6.47,1.41,002091,江苏国泰,3291770.0,贸易行业,-1.07,-4.57,-0.52,-3.51,10.78,345.0,1746,3699
168,7.16,6.07,000815,美利云,25551094.0,造纸印刷,3.32,-0.28,3.02,1.78,10.75,346.0,513,648
169,13.52,0.45,002727,一心堂,9078045.0,医药商业,-0.73,-0.15,11.04,4.64,10.69,353.0,47,183
170,10.19,2.83,002858,力盛体育,3891064.0,文化传媒,2.0,-0.29,-3.06,-2.28,10.69,354.0,3101,2874
171,7.06,1.88,300621,维业股份,810861.0,装修装饰,-0.42,-5.23,-2.41,-2.39,10.69,355.0,2729,2945
172,6.37,1.43,002763,汇洁股份,840660.0,纺织服装,-0.93,-2.6,-4.02,-1.23,10.61,360.0,3621,2144
173,6.04,2.72,300106,西部牧业,3724238.0,食品饮料,5.04,2.55,0.1,-1.44,10.55,362.0,1389,2272
174,4.42,1.61,000591,太阳能,13298830.0,电力行业,3.03,-1.12,1.7,-5.53,10.51,364.0,822,4671
175,22.6,1.25,301259,艾布鲁,2347396.0,环保行业,-4.52,10.89,1.44,-1.25,10.49,367.0,898,2157
176,8.18,2.0,002826,易明医药,2651617.0,中药,1.87,0.99,3.52,5.52,10.47,369.0,420,126
177,11.07,4.53,300012,华测检测,13185427.0,专业服务,-0.18,-5.87,0.66,-6.37,10.4,372.0,1166,4916
178,2.26,0.89,002259,ST升达,308223.0,燃气,-0.44,2.73,1.52,-0.26,10.36,375.0,879,1536
179,12.34,0.41,002275,桂林三金,1075106.0,中药,-3.52,-1.91,-2.26,-4.84,10.33,376.0,2654,4434
180,6.87,-0.43,002569,ST步森,1051432.0,纺织服装,9.39,12.62,5.49,5.38,10.32,377.0,223,133
181,5.73,4.37,300933,中辰股份,5392003.0,电网设备,7.1,-2.72,0.34,-1.55,10.3,378.0,1300,2358
182,5.8,1.58,300246,宝莱特,1272969.0,医疗器械,1.4,-1.02,1.34,-1.03,10.27,382.0,936,1991
183,5.09,3.88,300665,飞鹿股份,4844833.0,化学制品,3.25,2.41,2.05,1.78,10.24,384.0,726,649
184,10.42,0.68,001366,播恩集团,1312728.0,农牧饲渔,-1.98,-2.07,-0.85,-0.25,10.24,385.0,1894,1530
185,3.41,1.49,002165,红 宝 丽,3160814.0,化学制品,-2.57,-7.84,-4.48,-4.77,10.2,388.0,3844,4397
186,1.82,5.81,000010,美丽生态,7939535.0,工程建设,7.69,8.98,2.25,3.54,10.19,389.0,674,293
187,22.05,3.47,300442,润泽科技,25065677.0,互联网服务,-4.26,-3.25,-1.97,-0.98,10.18,390.0,2501,1958
188,5.24,1.35,002412,汉森制药,2240621.0,中药,-2.24,-3.85,-7.3,-3.79,10.15,392.0,4828,3866
189,11.31,0.53,002045,国光电器,34801007.0,消费电子,-9.01,-15.79,0.14,-2.34,10.13,394.0,1373,2910
190,5.3,0.76,002443,金洲管道,1124426.0,钢铁行业,-0.19,-3.46,11.21,6.05,10.11,396.0,44,110
191,8.55,1.66,002116,中国海诚,4628035.0,工程咨询服务,-0.23,-5.0,0.53,-4.16,10.08,401.0,1230,4073
192,13.09,1.32,000623,吉林敖东,6785709.0,化学制药,-0.68,-0.38,-3.5,-3.61,10.07,402.0,3346,3765
193,5.09,2.62,300084,海默科技,1289274.0,采掘行业,1.8,-0.78,-6.84,-5.0,10.07,403.0,4697,4488
194,34.31,-1.49,301291,明阳电气,17516541.0,电网设备,3.81,4.57,1.87,-1.88,10.02,406.0,777,2598
195,12.77,0.31,300003,乐普医疗,15516732.0,医疗器械,-4.77,-8.98,3.0,1.86,9.95,410.0,515,619
196,9.0,0.9,000543,皖能电力,18016554.0,电力行业,0.56,0.11,0.27,2.51,9.92,413.0,1331,444
197,2.49,3.75,300135,宝利国际,4739041.0,化学制品,1.63,-4.96,1.08,0.64,9.86,417.0,1024,1040
198,7.2,0.98,002608,江苏国信,4926150.0,电力行业,-2.7,-6.13,-5.41,-3.56,9.82,419.0,4218,3724
199,2.0,6.95,002263,大东南,4382464.0,塑料制品,6.95,0.0,2.08,-2.81,9.77,423.0,718,3227
200,7.61,2.42,300235,方直科技,1909500.0,软件开发,2.28,-2.93,-0.11,-1.7,9.75,426.0,1546,2474
201,2.44,3.39,002031,巨轮智能,23808111.0,专用设备,7.49,3.39,2.87,0.1,9.72,428.0,516,1185
202,5.33,1.91,002243,力合科创,2906626.0,美容护理,-0.37,-4.48,0.39,-0.3,9.67,409.0,1225,1418
203,6.62,3.12,001236,弘业期货,11254625.0,多元金融,2.0,-1.05,4.15,1.66,9.63,411.0,328,614
204,9.91,0.81,000155,川能动力,8952534.0,电力行业,-1.78,-7.3,-2.04,-2.8,9.61,435.0,2403,3006
205,10.2,3.87,300943,春晖智控,2936536.0,通用设备,2.82,-0.97,0.45,1.92,9.55,437.0,1261,595
206,2.93,2.45,000750,国海证券,11846206.0,证券,1.74,2.45,-1.13,-1.31,9.52,415.0,1930,2016
207,9.62,1.8,300024,机器人,13410163.0,通用设备,-0.82,-1.33,-0.7,-1.95,9.49,440.0,1716,2452
208,3.89,3.46,002793,罗欣药业,2591166.0,化学制药,0.52,-5.81,-1.65,-1.93,9.48,441.0,2193,2442
